iter	Passed	Remaining
0	71	78174
1	135	74225
2	194	70856
3	249	68248
4	306	66945
5	363	66040
6	467	72732
7	575	78332
8	642	77722
9	700	76147
10	763	75360
11	820	74143
12	880	73392
13	929	71911
14	1009	72814
15	1104	74602
16	1170	74379
17	1236	74136
18	1295	73507
19	1350	72748
20	1409	72194
21	1475	72114
22	1538	71856
23	1593	71237
24	1648	70691
25	1701	70096
26	1756	69614
27	1809	69098
28	1861	68570
29	1910	67955
30	1962	67488
31	2010	66905
32	2063	66516
33	2111	66025
34	2168	65807
35	2217	65342
36	2270	65050
37	2317	64589
38	2375	64434
39	2426	64111
40	2476	63778
41	2527	63481
42	2588	63447
43	2654	63532
44	2711	63378
45	2772	63351
46	2833	63299
47	2886	63091
48	2944	62985
49	2999	62808
50	3047	62496
51	3100	62303
52	3153	62117
53	3208	61963
54	3258	61741
55	3309	61512
56	3361	61327
57	3408	61060
58	3464	60956
59	3516	60771
60	3569	60621
61	3625	60525
62	3677	60357
63	3729	60189
64	3782	60055
65	3836	59936
66	3887	59768
67	3937	59580
68	3988	59427
69	4035	59203
70	4087	59071
71	4136	58888
72	4194	58831
73	4244	58681
74	4302	58632
75	4354	58495
76	4407	58379
77	4465	58342
78	4522	58281
79	4574	58156
80	4626	58034
81	4676	57883
82	4728	57769
83	4782	57670
84	4832	57532
85	4882	57394
86	4931	57251
87	4984	57156
88	5038	57070
89	5093	56990
90	5147	56905
91	5199	56800
92	5256	56744
93	5312	56689
94	5460	57590
95	5589	58282
96	5664	58397
97	5712	58237
98	5765	58124
99	5834	58171
100	5886	58045
101	5941	57959
102	6000	57905
103	6051	57780
104	6104	57676
105	6152	57519
106	6209	57454
107	6260	57331
108	6311	57208
109	6362	57086
110	6412	56964
111	6468	56891
112	6520	56780
113	6573	56681
114	6628	56602
115	6680	56494
116	6733	56403
117	6785	56299
118	6839	56213
119	6888	56080
120	6957	56120
121	7014	56059
122	7068	55974
123	7117	55847
124	7171	55769
125	7223	55670
126	7275	55567
127	7328	55476
128	7382	55398
129	7445	55380
130	7500	55311
131	7556	55239
132	7607	55139
133	7659	55045
134	7710	54945
135	7759	54830
136	7810	54731
137	7856	54600
138	7913	54537
139	7964	54439
140	8014	54340
141	8067	54256
142	8116	54144
143	8165	54042
144	8214	53934
145	8267	53849
146	8321	53776
147	8376	53712
148	8431	53641
149	8484	53562
150	8533	53460
151	8584	53370
152	8632	53260
153	8685	53185
154	8739	53113
155	8797	53068
156	8846	52966
157	8898	52884
158	8950	52804
159	9003	52726
160	9053	52633
161	9102	52537
162	9155	52458
163	9209	52393
164	9268	52354
165	9318	52264
166	9367	52168
167	9419	52084
168	9467	51985
169	9519	51908
170	9567	51811
171	9619	51734
172	9666	51628
173	9718	51550
174	9768	51467
175	9824	51408
176	9875	51332
177	9926	51251
178	9979	51180
179	10029	51096
180	10080	51015
181	10128	50922
182	10178	50838
183	10237	50796
184	10288	50719
185	10336	50628
186	10388	50553
187	10442	50491
188	10491	50402
189	10542	50328
190	10588	50227
191	10641	50158
192	10688	50066
193	10743	50008
194	10794	49932
195	10849	49876
196	10901	49802
197	10954	49736
198	11003	49653
199	11053	49576
200	11103	49497
201	11149	49400
202	11202	49334
203	11250	49250
204	11302	49179
205	11349	49088
206	11401	49020
207	11452	48947
208	11505	48882
209	11553	48799
210	11605	48730
211	11653	48645
212	11704	48576
213	11759	48520
214	11808	48440
215	11857	48363
216	11906	48284
217	11958	48217
218	12007	48140
219	12058	48070
220	12109	47998
221	12161	47934
222	12210	47856
223	12263	47793
224	12313	47719
225	12364	47650
226	12416	47588
227	12479	47563
228	12552	47580
229	12613	47548
230	12673	47510
231	12733	47477
232	12786	47414
233	12844	47369
234	12901	47322
235	12959	47280
236	13011	47214
237	13070	47174
238	13124	47117
239	13181	47068
240	13238	47020
241	13293	46967
242	13341	46886
243	13393	46821
244	13449	46771
245	13512	46745
246	13595	46786
247	13697	46893
248	13798	46992
249	13890	47061
250	13995	47170
251	14084	47226
252	14162	47246
253	14235	47245
254	14302	47224
255	14364	47189
256	14434	47179
257	14507	47175
258	14572	47149
259	14633	47108
260	14692	47061
261	14758	47035
262	14818	46990
263	14872	46925
264	14937	46897
265	15003	46870
266	15071	46852
267	15140	46834
268	15214	46830
269	15286	46820
270	15355	46804
271	15422	46778
272	15491	46759
273	15560	46737
274	15626	46709
275	15711	46734
276	15837	46883
277	15925	46917
278	15991	46886
279	16062	46868
280	16130	46840
281	16192	46796
282	16260	46769
283	16328	46743
284	16398	46722
285	16462	46683
286	16536	46670
287	16598	46624
288	16659	46577
289	16734	46567
290	16802	46537
291	16879	46533
292	16953	46521
293	17043	46550
294	17151	46629
295	17248	46676
296	17339	46706
297	17412	46686
298	17483	46660
299	17547	46618
300	17609	46569
301	17681	46545
302	17776	46583
303	17855	46576
304	17911	46511
305	17977	46470
306	18044	46432
307	18114	46402
308	18190	46388
309	18258	46353
310	18334	46338
311	18408	46317
312	18491	46317
313	18557	46275
314	18624	46236
315	18693	46202
316	18764	46172
317	18841	46155
318	18919	46142
319	18991	46113
320	19058	46072
321	19135	46056
322	19221	46059
323	19314	46080
324	19373	46020
325	19449	45997
326	19505	45930
327	19566	45873
328	19634	45834
329	19691	45768
330	19759	45726
331	19821	45674
332	19888	45629
333	19955	45587
334	20028	45557
335	20100	45524
336	20196	45546
337	20348	45694
338	20436	45695
339	20500	45643
340	20566	45596
341	20636	45556
342	20699	45503
343	20766	45456
344	20830	45404
345	20887	45337
346	20946	45274
347	21000	45199
348	21071	45161
349	21139	45118
350	21206	45071
351	21270	45018
352	21332	44961
353	21397	44910
354	21469	44873
355	21520	44794
356	21589	44750
357	21644	44679
358	21707	44625
359	21769	44566
360	21829	44506
361	21891	44448
362	21950	44383
363	22015	44332
364	22082	44286
365	22155	44250
366	22233	44225
367	22308	44192
368	22367	44129
369	22434	44080
370	22521	44071
371	22601	44048
372	22658	43980
373	22733	43947
374	22791	43880
375	22864	43843
376	22949	43829
377	23041	43826
378	23101	43765
379	23174	43726
380	23240	43674
381	23320	43649
382	23401	43626
383	23480	43597
384	23545	43544
385	23629	43524
386	23703	43487
387	23767	43431
388	23842	43395
389	23926	43374
390	23994	43325
391	24068	43286
392	24131	43228
393	24186	43155
394	24249	43096
395	24313	43039
396	24398	43019
397	24477	42988
398	24553	42952
399	24639	42935
400	24724	42914
401	24807	42887
402	24882	42848
403	24959	42813
404	25028	42765
405	25103	42725
406	25179	42686
407	25253	42646
408	25328	42607
409	25408	42575
410	25483	42534
411	25552	42483
412	25627	42442
413	25693	42387
414	25762	42337
415	25832	42288
416	25905	42243
417	25975	42194
418	26051	42154
419	26142	42139
420	26213	42091
421	26276	42030
422	26336	41964
423	26409	41919
424	26469	41852
425	26526	41782
426	26588	41719
427	26701	41736
428	26821	41763
429	26885	41703
430	26944	41635
431	27004	41569
432	27066	41506
433	27131	41447
434	27192	41383
435	27251	41315
436	27314	41252
437	27369	41179
438	27430	41115
439	27494	41054
440	27563	41001
441	27622	40934
442	27676	40858
443	27734	40789
444	27791	40719
445	27850	40652
446	27906	40580
447	27966	40513
448	28025	40446
449	28087	40383
450	28145	40314
451	28205	40249
452	28259	40175
453	28318	40107
454	28376	40039
455	28435	39971
456	28494	39904
457	28559	39846
458	28623	39785
459	28694	39735
460	28757	39674
461	28822	39614
462	28882	39550
463	28950	39495
464	29036	39464
465	29108	39414
466	29175	39359
467	29242	39302
468	29325	39266
469	29401	39222
470	29469	39167
471	29536	39110
472	29605	39056
473	29675	39003
474	29742	38946
475	29810	38892
476	29876	38833
477	29935	38765
478	29991	38695
479	30065	38646
480	30135	38593
481	30197	38529
482	30264	38472
483	30335	38420
484	30426	38394
485	30547	38404
486	30633	38369
487	30701	38313
488	30769	38257
489	30837	38201
490	30910	38150
491	30980	38095
492	31043	38032
493	31106	37970
494	31167	37904
495	31231	37842
496	31290	37774
497	31349	37708
498	31407	37638
499	31469	37575
500	31526	37505
501	31593	37446
502	31653	37380
503	31725	37327
504	31787	37264
505	31840	37188
506	31903	37125
507	31961	37058
508	32033	37004
509	32125	36976
510	32219	36948
511	32291	36895
512	32360	36839
513	32422	36775
514	32481	36707
515	32539	36638
516	32601	36574
517	32665	36512
518	32723	36443
519	32788	36382
520	32845	36313
521	32906	36247
522	32968	36183
523	33025	36113
524	33088	36050
525	33145	35981
526	33200	35909
527	33259	35841
528	33318	35774
529	33376	35706
530	33443	35648
531	33503	35581
532	33570	35523
533	33646	35473
534	33719	35421
535	33827	35405
536	33914	35367
537	33999	35327
538	34078	35279
539	34148	35223
540	34227	35177
541	34302	35125
542	34385	35081
543	34478	35048
544	34560	35004
545	34660	34978
546	34753	34944
547	34841	34905
548	34914	34850
549	34982	34791
550	35049	34731
551	35130	34684
552	35194	34621
553	35256	34556
554	35327	34499
555	35407	34451
556	35474	34391
557	35531	34321
558	35604	34266
559	35672	34207
560	35743	34150
561	35808	34088
562	35866	34018
563	35924	33950
564	35987	33885
565	36044	33815
566	36105	33749
567	36170	33686
568	36227	33617
569	36296	33558
570	36360	33495
571	36424	33432
572	36484	33364
573	36553	33305
574	36617	33242
575	36674	33172
576	36734	33105
577	36795	33039
578	36868	32984
579	36926	32915
580	36984	32846
581	37048	32783
582	37111	32718
583	37170	32651
584	37226	32581
585	37297	32524
586	37363	32461
587	37427	32399
588	37495	32339
589	37590	32302
590	37677	32258
591	37758	32209
592	37829	32151
593	37908	32101
594	37975	32040
595	38038	31975
596	38102	31912
597	38167	31848
598	38232	31786
599	38309	31732
600	38401	31692
601	38479	31640
602	38553	31584
603	38618	31521
604	38694	31467
605	38762	31406
606	38827	31343
607	38896	31283
608	38964	31222
609	39039	31167
610	39107	31107
611	39166	31038
612	39244	30985
613	39324	30934
614	39395	30875
615	39467	30818
616	39537	30758
617	39602	30694
618	39668	30632
619	39739	30573
620	39810	30514
621	39890	30463
622	39962	30405
623	40023	30338
624	40089	30275
625	40150	30209
626	40230	30157
627	40313	30106
628	40392	30053
629	40472	30001
630	40549	29946
631	40623	29888
632	40730	29856
633	40833	29820
634	40909	29763
635	40981	29704
636	41059	29650
637	41130	29590
638	41200	29530
639	41280	29476
640	41350	29416
641	41421	29356
642	41482	29289
643	41547	29225
644	41605	29156
645	41664	29087
646	41730	29024
647	41787	28954
648	41850	28889
649	41910	28821
650	41975	28757
651	42043	28695
652	42107	28630
653	42166	28562
654	42233	28499
655	42299	28435
656	42372	28377
657	42432	28309
658	42493	28242
659	42546	28171
660	42606	28103
661	42663	28034
662	42738	27976
663	42799	27910
664	42856	27840
665	42913	27771
666	42970	27702
667	43024	27631
668	43085	27564
669	43139	27493
670	43198	27425
671	43260	27359
672	43321	27293
673	43389	27230
674	43453	27166
675	43518	27102
676	43578	27035
677	43641	26970
678	43705	26905
679	43773	26843
680	43836	26778
681	43901	26714
682	43960	26646
683	44037	26589
684	44096	26522
685	44166	26460
686	44232	26398
687	44295	26332
688	44351	26263
689	44419	26201
690	44478	26133
691	44543	26069
692	44601	26001
693	44652	25929
694	44720	25866
695	44788	25804
696	44873	25752
697	44962	25702
698	45044	25647
699	45142	25602
700	45213	25541
701	45275	25475
702	45337	25409
703	45408	25349
704	45474	25285
705	45535	25218
706	45610	25159
707	45668	25091
708	45743	25032
709	45817	24973
710	45872	24904
711	45937	24839
712	45997	24772
713	46062	24708
714	46128	24644
715	46182	24574
716	46251	24512
717	46310	24445
718	46366	24376
719	46422	24307
720	46478	24238
721	46537	24171
722	46595	24103
723	46654	24036
724	46712	23968
725	46774	23902
726	46830	23834
727	46894	23769
728	46956	23703
729	47009	23633
730	47072	23568
731	47145	23508
732	47240	23459
733	47324	23404
734	47421	23355
735	47526	23311
736	47638	23269
737	47734	23220
738	47843	23177
739	47924	23120
740	48011	23066
741	48090	23008
742	48165	22948
743	48268	22901
744	48371	22854
745	48461	22801
746	48566	22755
747	48665	22706
748	48752	22651
749	48844	22598
750	48924	22540
751	49010	22484
752	49094	22428
753	49207	22384
754	49327	22344
755	49458	22308
756	49546	22253
757	49644	22202
758	49766	22162
759	49864	22111
760	49954	22056
761	50055	22006
762	50132	21945
763	50221	21889
764	50298	21828
765	50392	21775
766	50497	21726
767	50587	21670
768	50669	21612
769	50758	21555
770	50863	21506
771	50989	21465
772	51128	21430
773	51272	21396
774	51416	21362
775	51564	21330
776	51707	21295
777	51848	21259
778	51991	21223
779	52103	21175
780	52223	21129
781	52341	21083
782	52472	21042
783	52599	20999
784	52723	20955
785	52852	20912
786	52942	20854
787	53030	20794
788	53102	20729
789	53171	20662
790	53245	20598
791	53321	20534
792	53398	20470
793	53473	20406
794	53545	20340
795	53629	20279
796	53736	20227
797	53812	20162
798	53903	20104
799	53999	20047
800	54092	19989
801	54199	19936
802	54300	19880
803	54388	19820
804	54465	19756
805	54532	19688
806	54597	19619
807	54666	19552
808	54779	19501
809	54867	19440
810	54930	19371
811	54996	19302
812	55065	19235
813	55137	19169
814	55202	19100
815	55266	19031
816	55345	18967
817	55423	18903
818	55516	18844
819	55589	18778
820	55666	18713
821	55737	18647
822	55806	18579
823	55878	18513
824	55939	18442
825	56014	18377
826	56143	18329
827	56246	18273
828	56324	18208
829	56385	18138
830	56443	18067
831	56508	17998
832	56582	17932
833	56649	17864
834	56716	17795
835	56785	17728
836	56853	17660
837	56914	17590
838	56979	17521
839	57037	17450
840	57094	17379
841	57158	17310
842	57224	17241
843	57305	17177
844	57380	17112
845	57453	17045
846	57525	16979
847	57602	16913
848	57674	16847
849	57737	16777
850	57798	16708
851	57862	16638
852	57943	16574
853	58001	16503
854	58061	16433
855	58133	16366
856	58200	16298
857	58252	16226
858	58319	16158
859	58382	16089
860	58453	16022
861	58509	15951
862	58573	15881
863	58633	15812
864	58693	15741
865	58757	15673
866	58825	15605
867	58886	15535
868	58961	15469
869	59035	15403
870	59108	15336
871	59181	15270
872	59252	15203
873	59319	15135
874	59387	15067
875	59462	15001
876	59532	14934
877	59588	14863
878	59651	14794
879	59717	14725
880	59771	14654
881	59843	14587
882	59896	14516
883	59964	14448
884	60027	14379
885	60087	14309
886	60152	14241
887	60207	14170
888	60269	14101
889	60339	14034
890	60397	13964
891	60465	13896
892	60538	13829
893	60614	13763
894	60687	13696
895	60751	13628
896	60825	13562
897	60894	13494
898	60966	13427
899	61046	13362
900	61124	13296
901	61203	13231
902	61270	13163
903	61342	13096
904	61405	13027
905	61468	12958
906	61530	12889
907	61590	12820
908	61661	12752
909	61744	12688
910	61823	12622
911	61889	12554
912	61956	12486
913	62021	12417
914	62090	12350
915	62166	12284
916	62235	12216
917	62316	12151
918	62397	12085
919	62474	12019
920	62556	11954
921	62649	11891
922	62728	11825
923	62806	11759
924	62887	11693
925	62961	11626
926	63023	11557
927	63090	11489
928	63162	11422
929	63233	11354
930	63318	11289
931	63387	11222
932	63456	11154
933	63539	11088
934	63604	11020
935	63676	10952
936	63741	10884
937	63809	10816
938	63877	10748
939	63945	10680
940	64021	10613
941	64100	10547
942	64181	10481
943	64256	10414
944	64321	10345
945	64393	10278
946	64486	10214
947	64566	10148
948	64644	10081
949	64719	10014
950	64796	9947
951	64866	9879
952	64946	9813
953	65027	9747
954	65110	9681
955	65222	9619
956	65347	9559
957	65424	9492
958	65484	9423
959	65553	9355
960	65623	9286
961	65699	9219
